28	"망령-독"	1	-1	0	300	8	1	-1	-1	-1								
																		
//라클리온																		
29	"포효"	1	-1	0	300	43	-1	-1	-1	-1								
30	"짓밟기"	1	-1	0	300	44	-1	-1	-1	-1								
31	"분노의일격"	1	0	2	300	45	-1	-1	-1	-1								
32	"쿨러틴-독구슬"	1	-1	0	300	46	-1	-1	-1	-1								
33	"블로우"	1	-1	0	300	47	-1	-1	-1	-1								
34	"세루판-독구슬"	1	0	6	300	48	-1	-1	-1	-1								
35	"세루판-냉기폭풍"	1	0	8	300	49	-1	-1	-1	-1								
36	"세루판-냉기충격"	1	0	6	300	50	-1	-1	-1	-1								
37	"세루판-낙하"	1	0	4	300	51	-1	-1	-1	-1								
38	"세루판-소환"	2	-1	0	300	52	-1	-1	-1	-1								
39	"세루판-치료"	2	-1	0	300	53	-1	-1	-1	-1								
40	"세루판-얼리기"	1	-1	0	300	54	-1	-1	-1	-1								
41	"세루판-순간이동"	2	-1	0	300	55	-1	-1	-1	-1								
42	"세루판-무적"	2	-1	0	300	56	-1	-1	-1	-1								
43	"세루판-광폭화"	2	-1	0	300	57	-1	-1	-1	-1								
//Index 	Name	Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4								
//제국 수호군 요새																		
//제국 수호군 요새 일반 몬스터																		
44	"방패병-방어"	5	-1	0	300	58	-1	-1	-1	-1								
45	"방패병-방패가격"	3	-1	0	300	59	-1	-1	-1	-1								
46	"치유병-치유"	4	-1	0	300	60	-1	-1	-1	-1								
//제국 수호군 요새 보스 몬스터																		
47	"병참장교-스킬01"	1	0	6	300	61	-1	-1	-1	-1								
48	"병참장교-스킬02"	1	0	3	300	61	-1	-1	-1	-1								
49	"전투교관-스킬03"	1	1	10	300	61	-1	-1	-1	-1								
50	"기사단장-스킬04"	3	-1	0	300	61	62	-1	-1	-1								
51	"대마법사-불기둥"	3	0	10	300	61	-1	-1	-1	-1								
52	"대마법사-광역운석"	1	0	10	300	61	59	-1	-1	-1								
53	"암살단장-스킬06"	1	0	10	300	61	65	-1	-1	-1								
54	"기마단장-어스쉐이크"	1	0	3	300	61	64	-1	-1	-1								
55	"기마단장-물기"	3	-1	0	300	61	62	-1	-1	-1								
56	"기마단장-헤드혼"	3	-1	0	300	61	66	59	-1	-1								
57	"데슬러-블레이드문"	1	0	10	300	61	-1	-1	-1	-1								
58	"데슬러-스킬07"	1	1	5	300	61	-1	-1	-1	-1								
//59	"광폭화"	2	-1	0	300	67	68	-1	-1	-1								
60	"버몬트-스킬08"	1	0	10	300	61	59	-1	-1	-1								
61	"버몬트-스킬09"	1	0	10	300	61	69	-1	-1	-1								
62	"에르카느-스킬14"	1	0	6	300	61	-1	-1	-1	-1								
63	"에르카느-스킬15"	1	0	3	300	61	64	-1	-1	-1								
64	"가이온-블러드어택"	1	1	3	300	61	70	-1	-1	-1								
65	"가이온-기간틱스톰"	1	0	5	300	61	72	-1	-1	-1								
66	"가이온-플레임"	1	1	5	300	61	73	-1	-1	-1								
67	"가이온-일반"	3	-1	0	300	71	-1	-1	-1	-1								
//신규 리뉴얼 몬스터 스킬 추가_아이다																		
68	"블러디골렘-스턴"	1	-1	0	300	47	74	-1	-1	-1								
69	"위치퀸 - 얼음"	1	-1	0	300	47	9	5	-1	-1								
//신규 리뉴얼 몬스터 스킬 추가_칸투르 폐허																		
70	"버서커 - 스턴공"	1	-1	0	300	47	74	6	-1	-1								
71	"제노사이더-스턴"	1	-1	0	300	47	74	7	-1	-1								
//신규 리뉴얼 몬스터 스킬 추가_평온의늪																		
72	"사피퀸 - 스턴방"	1	-1	0	300	47	74	5	-1	-1								
73	"아이스 네이핀-얼음"	1	-1	0	300	47	9	7	-1	-1								
74	"쉐도우마스터-스턴"	1	-1	0	300	47	74	6	-1	-1								
//신규 리뉴얼 몬스터 스킬 추가_라클리온																		
75	"다크메머드-독방"	1	-1	0	300	47	27	6	-1	-1								
76	"다크자이언트-독공"	1	-1	0	300	47	27	5	-1	-1								
77	"다크아이언나이트-독"	1	-1	0	300	47	74	27	-1	-1								
//Index 	Name	Target	ScopeT	ScopeV	Delay(ms)	E0	E1	E2	E3	E4								
//보스 몬스터 스킬 추가_메두사																		
78	"메두사-커스포이즌"	1	0	10	300	75	-1	-1	-1	-1								
79	"메두사-카오틱"	1	0	10	300	76	77	-1	-1	-1								
80	"메두사-기간틱"	1	0	10	300	72	77	-1	-1	-1								
81	"메두사-악령"	1	0	10	300	25	8	-1	-1	-1								
end																		
